Grid,Matchup,p_A_to_B,p_A_to_B_CI,n_AB,p_B_to_A,p_B_to_A_CI,n_BA,"s(A,B)",Delta
4x4,Deep2 vs Heuristic1,1.0,"(np.float64(0.9873565700022643), np.float64(0.9999999999999999))",300,0.0,"(0.0, np.float64(0.012643429997735661))",300,1.0,0.0
4x4,Deep2 vs Random,1.0,"(np.float64(0.9873565700022643), np.float64(0.9999999999999999))",300,0.0,"(0.0, np.float64(0.012643429997735661))",300,1.0,0.0
4x4,Heuristic1 vs Deep2,0.0,"(0.0, np.float64(0.012643429997735661))",300,1.0,"(np.float64(0.9873565700022643), np.float64(0.9999999999999999))",300,0.0,0.0
4x4,Heuristic1 vs Random,0.5964285714285714,"(np.float64(0.5380320398766418), np.float64(0.6522149147628473))",300,0.4855072463768116,"(np.float64(0.42714770138791125), np.float64(0.5442646976263883))",300,0.55546066252588,0.08193581780538295
4x4,Random vs Deep2,0.0,"(0.0, np.float64(0.012643429997735661))",300,1.0,"(np.float64(0.9873565700022643), np.float64(0.9999999999999999))",300,0.0,0.0
4x4,Random vs Heuristic1,0.4855072463768116,"(np.float64(0.42714770138791125), np.float64(0.5442646976263883))",300,0.5964285714285714,"(np.float64(0.5380320398766418), np.float64(0.6522149147628473))",300,0.4445393374741201,0.081935817805383
5x5,Deep2 vs Heuristic1,1.0,"(np.float64(0.9873565700022643), np.float64(0.9999999999999999))",300,0.0,"(0.0, np.float64(0.012643429997735661))",300,1.0,0.0
5x5,Deep2 vs Random,1.0,"(np.float64(0.9873565700022643), np.float64(0.9999999999999999))",300,0.0,"(0.0, np.float64(0.012643429997735661))",300,1.0,0.0
5x5,Heuristic1 vs Deep2,0.0,"(0.0, np.float64(0.012643429997735661))",300,1.0,"(np.float64(0.9873565700022643), np.float64(0.9999999999999999))",300,0.0,0.0
5x5,Heuristic1 vs Random,0.57,"(np.float64(0.5134401182890381), np.float64(0.6247898015112788))",300,0.49333333333333335,"(np.float64(0.4372010534770382), np.float64(0.549634192256265))",300,0.5383333333333333,0.06333333333333335
5x5,Random vs Deep2,0.0,"(0.0, np.float64(0.012643429997735661))",300,1.0,"(np.float64(0.9873565700022643), np.float64(0.9999999999999999))",300,0.0,0.0
5x5,Random vs Heuristic1,0.49333333333333335,"(np.float64(0.4372010534770382), np.float64(0.549634192256265))",300,0.57,"(np.float64(0.5134401182890381), np.float64(0.6247898015112788))",300,0.46166666666666667,0.0633333333333333
6x6,Deep2 vs Heuristic1,1.0,"(np.float64(0.9873565700022643), np.float64(0.9999999999999999))",300,0.0,"(0.0, np.float64(0.012643429997735661))",300,1.0,0.0
6x6,Deep2 vs Random,1.0,"(np.float64(0.9873565700022643), np.float64(0.9999999999999999))",300,0.0,"(0.0, np.float64(0.012643429997735661))",300,1.0,0.0
6x6,Heuristic1 vs Deep2,0.0,"(0.0, np.float64(0.012643429997735661))",300,1.0,"(np.float64(0.9873565700022643), np.float64(0.9999999999999999))",300,0.0,0.0
6x6,Heuristic1 vs Random,0.5923344947735192,"(np.float64(0.5346258027970945), np.float64(0.6476039745112412))",300,0.43944636678200694,"(np.float64(0.38338901073117565), np.float64(0.4970924509190818))",300,0.5764440639957561,0.031780861555526174
6x6,Random vs Deep2,0.0,"(0.0, np.float64(0.012643429997735661))",300,1.0,"(np.float64(0.9873565700022643), np.float64(0.9999999999999999))",300,0.0,0.0
6x6,Random vs Heuristic1,0.43944636678200694,"(np.float64(0.38338901073117565), np.float64(0.4970924509190818))",300,0.5923344947735192,"(np.float64(0.5346258027970945), np.float64(0.6476039745112412))",300,0.4235559360042439,0.03178086155552612
