grid,turns_mean,turns_std,n,agent_A,agent_B
4,40.0,0.0,300,Deep2,Deep2
4,40.0,0.0,600,Deep2,Heuristic1
4,40.0,0.0,600,Deep2,Random
4,40.0,0.0,300,Heuristic1,Heuristic1
4,40.0,0.0,600,Heuristic1,Random
4,40.0,0.0,300,Random,Random
5,60.0,0.0,300,Deep2,Deep2
5,60.0,0.0,600,Deep2,Heuristic1
5,60.0,0.0,600,Deep2,Random
5,60.0,0.0,300,Heuristic1,Heuristic1
5,60.0,0.0,600,Heuristic1,Random
5,60.0,0.0,300,Random,Random
6,84.0,0.0,300,Deep2,Deep2
6,84.0,0.0,600,Deep2,Heuristic1
6,84.0,0.0,600,Deep2,Random
6,84.0,0.0,300,Heuristic1,Heuristic1
6,84.0,0.0,600,Heuristic1,Random
6,84.0,0.0,300,Random,Random
