grid,agent_A,agent_B,A_wins,B_wins,ties,games,A_win_rate_%,B_win_rate_%,A_win_rate_CI_95%
4,Deep2,Deep2,157,101,42,300,60.853,39.147,"[54.779, 66.608]"
5,Deep2,Deep2,140,160,0,300,46.667,53.333,"[41.099, 52.319]"
6,Deep2,Deep2,153,128,19,300,54.448,45.552,"[48.604, 60.172]"
4,Deep2,Heuristic1,600,0,0,600,100.0,0.0,"[99.364, 100.000]"
5,Deep2,Heuristic1,600,0,0,600,100.0,0.0,"[99.364, 100.000]"
6,Deep2,Heuristic1,600,0,0,600,100.0,0.0,"[99.364, 100.000]"
4,Deep2,Random,600,0,0,600,100.0,0.0,"[99.364, 100.000]"
5,Deep2,Random,600,0,0,600,100.0,0.0,"[99.364, 100.000]"
6,Deep2,Random,600,0,0,600,100.0,0.0,"[99.364, 100.000]"
4,Heuristic1,Heuristic1,156,131,13,300,54.355,45.645,"[48.573, 60.023]"
5,Heuristic1,Heuristic1,169,131,0,300,56.333,43.667,"[50.676, 61.831]"
6,Heuristic1,Heuristic1,153,141,6,300,52.041,47.959,"[46.341, 57.688]"
4,Heuristic1,Random,309,247,44,600,55.576,44.424,"[51.421, 59.653]"
5,Heuristic1,Random,323,277,0,600,53.833,46.167,"[49.833, 57.785]"
6,Heuristic1,Random,332,244,24,600,57.639,42.361,"[53.566, 61.611]"
4,Random,Random,150,127,23,300,54.152,45.848,"[48.267, 59.923]"
5,Random,Random,151,149,0,300,50.333,49.667,"[44.707, 55.951]"
6,Random,Random,125,157,18,300,44.326,55.674,"[38.643, 50.162]"
