grid,agent_A,agent_B,A_wins,B_wins,ties,games,A_win_rate,B_win_rate,tie_rate
4,Deep2,Deep2,157,101,42,300,0.5233333333333333,0.33666666666666667,0.14
4,Deep2,Heuristic1,600,0,0,600,1.0,0.0,0.0
4,Deep2,Random,600,0,0,600,1.0,0.0,0.0
4,Heuristic1,Heuristic1,156,131,13,300,0.52,0.43666666666666665,0.043333333333333335
4,Heuristic1,Random,309,247,44,600,0.515,0.4116666666666667,0.07333333333333333
4,Random,Random,150,127,23,300,0.5,0.42333333333333334,0.07666666666666666
5,Deep2,Deep2,140,160,0,300,0.4666666666666667,0.5333333333333333,0.0
5,Deep2,Heuristic1,600,0,0,600,1.0,0.0,0.0
5,Deep2,Random,600,0,0,600,1.0,0.0,0.0
5,Heuristic1,Heuristic1,169,131,0,300,0.5633333333333334,0.43666666666666665,0.0
5,Heuristic1,Random,323,277,0,600,0.5383333333333333,0.46166666666666667,0.0
5,Random,Random,151,149,0,300,0.5033333333333333,0.49666666666666665,0.0
6,Deep2,Deep2,153,128,19,300,0.51,0.4266666666666667,0.06333333333333334
6,Deep2,Heuristic1,600,0,0,600,1.0,0.0,0.0
6,Deep2,Random,600,0,0,600,1.0,0.0,0.0
6,Heuristic1,Heuristic1,153,141,6,300,0.51,0.47,0.02
6,Heuristic1,Random,332,244,24,600,0.5533333333333333,0.4066666666666667,0.04
6,Random,Random,125,157,18,300,0.4166666666666667,0.5233333333333333,0.06
